Tipo	Contrato	 RENTA PORTAL 	Fecha
Renovacion	713353099	 375.00 	20/05/20
Renovacion	713351391	 517.24 	04/05/20
Renovacion	713241811	 280.17 	31/05/20
Renovacion	713233310	 280.17 	20/05/20
Renovacion	713231855	 280.17 	21/05/20
Renovacion	713198164	 193.96 	14/05/20
Renovacion	713192062	 375.00 	04/05/20
Renovacion	713190533	 228.45 	05/05/20
Renovacion	713183170	 258.62 	09/05/20
Renovacion	713122684	 375.00 	01/05/20
Renovacion	712988502	 461.21 	08/05/20
Renovacion	712987695	 461.21 	08/05/20
Renovacion	712980616	 375.00 	10/05/20
Renovacion	712951755	 375.00 	30/05/20
Renovacion	712947746	 375.00 	31/05/20
Renovacion	712947194	 461.21 	07/05/20
Renovacion	712912144	 280.17 	22/05/20
Renovacion	712912122	 280.17 	14/05/20
Renovacion	712910786	 172.41 	23/05/20
Renovacion	712887086	 280.17 	06/05/20
Renovacion	712886157	 461.21 	12/05/20
Renovacion	712882305	 375.00 	05/05/20
Renovacion	712877943	 280.17 	31/05/20
Renovacion	712807747	 461.21 	28/05/20
Renovacion	712805459	 280.17 	15/05/20
Renovacion	712740468	 280.17 	13/05/20
Renovacion	712728023	 280.17 	04/05/20
Renovacion	712725592	 280.17 	13/05/20
Renovacion	712725017	 375.00 	12/05/20
Renovacion	712602817	 258.62 	28/05/20
Renovacion	712599145	 547.41 	28/05/20
Renovacion	712595405	 375.00 	02/05/20
Renovacion	712480024	 228.45 	08/05/20
Renovacion	712479483	 375.00 	22/05/20
Renovacion	712475286	 280.17 	30/05/20
Renovacion	712474867	 280.17 	12/05/20
Renovacion	712469850	 375.00 	24/05/20
Renovacion	712445604	 280.17 	16/05/20
Renovacion	712445065	 375.00 	04/05/20
Renovacion	712400238	 375.00 	12/05/20
Renovacion	712283017	 375.00 	31/05/20
Renovacion	712280111	 280.17 	06/05/20
Renovacion	712272173	 280.17 	08/05/20
Renovacion	712268427	 375.00 	03/05/20
Renovacion	712264389	 258.62 	24/05/20
Renovacion	712253256	 280.17 	27/05/20
Renovacion	712247011	 228.45 	12/05/20
Renovacion	712245907	 193.96 	19/05/20
Renovacion	712244845	 375.00 	28/05/20
Renovacion	712243961	 375.00 	25/05/20
Renovacion	712243878	 461.21 	11/05/20
Renovacion	712237164	 375.00 	03/05/20
