CONTRATO	PLAN	FECHA ACTIVACION	FECHA BAJA
37243957	ATT CONSIGUELO BASICO 1.5	03/08/18	27/01/19
37534061	ATT CONSIGUELO BASICO 1.5	06/08/18	27/01/19
701051461	ATT CONSIGUELO BASICO 3	03/09/18	19/01/19
701051462	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO BACK TO SCHOOL HUAWEI	03/09/18	19/01/19
701219536	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO BACK TO SCHOOL HUAWEI	04/09/18	19/01/19
701220377	ATT CONSIGUELO BASICO 3	04/09/18	19/01/19
700014860	ATT CONSIGUELO BASICO 1.5	20/08/18	06/01/19
700532979	ATT CONSIGUELO BASICO 2	27/08/18	14/01/19
702277039	ATT CONSIGUELO BASICO 2	22/09/18	02/01/19
703532166	ATT CONSIGUELO BASICO 1	14/10/18	03/01/19
37533227	ATT CONSIGUELO BASICO 2	06/08/18	07/01/19
38098677	ATT CONSIGUELO BASICO 2	11/08/18	28/01/19
701058202	ATT CONSIGUELO BASICO 3	03/09/18	10/01/19
36830776	ATT CONSIGUELO BASICO 2	30/07/18	11/01/19
38471528	ATT CONSIGUELO BASICO 2	13/08/18	27/01/19
38674757	ATT CONSIGUELO BASICO 2	18/08/18	10/01/19
700001854	ATT CONSIGUELO BASICO 2	19/08/18	24/01/19
700011961	ATT CONSIGUELO BASICO 1.5	19/08/18	06/01/19
701460214	ATT CONSIGUELO BASICO 3	08/09/18	22/01/19
701825486	ATT CONSIGUELO BASICO 2	14/09/18	02/01/19
702422369	ATT CONSIGUELO BASICO 1	23/09/18	02/01/19
703115810	ATT V2 CT DAMOSMAS 349	07/10/18	24/01/19
36681143	ATT CONSIGUELO BASICO 2	28/07/18	18/01/19
37265155	ATT CONSIGUELO BASICO 1.5	04/08/18	01/01/19
701806773	ATT CONSIGUELO COMPLETO 8	13/09/18	26/01/19
703356472	ATT CONSIGUELO BASICO 2	11/10/18	20/01/19
709907415	ATT CONSIGUELO BASICO 1	29/12/18	11/01/19
703877541	ATT INTERNET EN CASA COMPLETO V2	20/10/18	17/01/19
704443573	ATT CONSIGUELO BASICO 1	26/10/18	10/01/19
704689410	ATT CONSIGUELO BASICO 3	30/10/18	14/01/19
37246389	ATT INTERNET EN CASA COMPLETO	03/08/18	04/01/19
709044843	ATT CONSIGUELO BASICO 2	21/12/18	22/01/19
36149227	ATT CONSIGUELO BASICO 3	18/07/18	02/01/19
36637892	ATT CONSIGUELO BASICO 2	26/07/18	11/01/19
36660311	ATT CONSIGUELO BASICO 1.5	27/07/18	11/01/19
36829350	ATT CONSIGUELO BASICO 1.5	30/07/18	17/01/19
38054696	ATT CONSIGUELO BASICO 2	09/08/18	27/01/19
708988268	ATT CONSIGUELO COMPLETO 5	19/12/18	23/01/19
35655652	ATT INTERNET EN CASA COMPLETO	13/07/18	07/01/19
38071941	ATT CONSIGUELO BASICO 2	10/08/18	27/01/19
700033055	ATT CONSIGUELO BASICO 3	21/08/18	23/01/19
700035166	ATT CONSIGUELO BASICO 1	21/08/18	08/01/19
700278412	ATT CONSIGUELO BASICO 1.5	25/08/18	10/01/19
701263316	ATT CONSIGUELO BASICO 1.5	06/09/18	21/01/19
38056517	ATT CONSIGUELO COMPLETO 5	09/08/18	18/01/19
38062305	ATT CONSIGUELO COMPLETO 5	09/08/18	18/01/19
38056597	ATT CONSIGUELO COMPLETO 10	09/08/18	31/01/19
705612274	ATT CONSIGUELO BASICO 1	09/11/18	28/01/19
36656773	ATT CONSIGUELO COMPLETO 10	27/07/18	18/01/19
36649910	ATT CONSIGUELO COMPLETO 5	27/07/18	11/01/19
36848617	ATT CONSIGUELO BASICO 3	31/07/18	14/01/19
36870493	ATT CONSIGUELO COMPLETO 5	01/08/18	14/01/19
38478446	ATT CONSIGUELO COMPLETO 6.5	13/08/18	16/01/19
703284438	ATT CONSIGUELO COMPLETO 10	09/10/18	30/01/19
703358085	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	11/10/18	09/01/19
703365215	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	11/10/18	24/01/19
703360789	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	11/10/18	24/01/19
703358379	ATT CONSIGUELO COMPLETO 10	11/10/18	30/01/19
703548110	COMPARTELO INCLUIDO VOZ, SMS Y DATOS	15/10/18	24/01/19
704769662	ATT CONSIGUELO COMPLETO 5	31/10/18	13/01/19
705311822	ATT CONSIGUELO BASICO 2	07/11/18	08/01/19
706936439	ATT CONSIGUELO BASICO 2	21/11/18	05/01/19
707206898	ATT CONSIGUELO BASICO 1.5	26/11/18	10/01/19
707208750	ATT CONSIGUELO BASICO 1.5	26/11/18	10/01/19
707374824	ATT CONSIGUELO BASICO 3	28/11/18	14/01/19
707741231	ATT CONSIGUELO COMPLETO 13	04/12/18	07/01/19
707904357	ATT CONSIGUELO BASICO 3	05/12/18	22/01/19
708104529	ATT CONSIGUELO COMPLETO 5	07/12/18	30/01/19
708922072	ATT CONSIGUELO BASICO 3	18/12/18	11/01/19
709782662	ATT CONSIGUELO COMPLETO 6.5	28/12/18	17/01/19
35639732	ATT INTERNET EN CASA COMPLETO	12/07/18	05/01/19
36844003	ATT CONSIGUELO BASICO 1.5	30/07/18	23/01/19
37255220	ATT CONSIGUELO BASICO 2	04/08/18	18/01/19
37258521	ATT CONSIGUELO BASICO 2	04/08/18	19/01/19
38354185	ATT INTERNET EN CASA COMPLETO	12/08/18	21/01/19
700253918	ATT INTERNET EN CASA COMPLETO	24/08/18	04/01/19
701224290	ATT CONSIGUELO COMPLETO 5	04/09/18	23/01/19
701538616	ATT CONSIGUELO BASICO 1.5	09/09/18	14/01/19
702767628	ATT CONSIGUELO BASICO 2	02/10/18	30/01/19
36025164	ATT CONSIGUELO BASICO 2	17/07/18	02/01/19
36636005	ATT CONSIGUELO BASICO 3	26/07/18	11/01/19
36828712	ATT INTERNET EN CASA COMPLETO	30/07/18	11/01/19
37514939	ATT INTERNET EN CASA COMPLETO	05/08/18	12/01/19
38094642	ATT CONSIGUELO BASICO 2	11/08/18	27/01/19
38362397	ATT CONSIGUELO BASICO 1.5	12/08/18	27/01/19
700025835	ATT CONSIGUELO BASICO 2	20/08/18	23/01/19
700726892	ATT INTERNET EN CASA COMPLETO	29/08/18	29/01/19
700775791	ATT CONSIGUELO BASICO 1.5	31/08/18	27/01/19
701255633	ATT CONSIGUELO BASICO 2	06/09/18	23/01/19
701452336	ATT CONSIGUELO BASICO 1.5	08/09/18	27/01/19
704329850	ATT CONSIGUELO BASICO 2	24/10/18	23/01/19
708718211	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO MOTO E5	14/12/18	24/01/19
709140702	ATT CONSIGUELO BASICO 2	23/12/18	28/01/19
706761331	ATT CONSIGUELO BASICO 1	20/11/18	22/01/19
709469551	ATT CONSIGUELO BASICO 1	26/12/18	08/01/19
36876595	ATT INTERNET EN CASA COMPLETO	01/08/18	07/01/19
38564865	ATT INTERNET EN CASA COMPLETO	15/08/18	04/01/19
701571835	ATT CONSIGUELO BASICO 2	11/09/18	28/01/19
703853362	COMPARTELO ADICIONAL VOZ, SMS Y DATOS BOGO HUAWEI NOVA 3	19/10/18	16/01/19
704593673	ATT CONSIGUELO BASICO 1	29/10/18	30/01/19
